ID,Seccion,Pregunta,Contexto Login,Contexto Evento,JWT OK,Respuesta IA (extracto),Categoria Detectada,Categoria Esperada,Score,Resultado Test,Resultado Anterior (fake),Problema Real,Tu Valoracion
R1-01,1. Login,login con credenciales reales,NO (intentando),N/A,NO - no-jwt-in-localStorage,(timeout login),N/A,N/A,N/A,FAIL (timeout),FAIL,JWT no se guarda en localStorage al primer intento — auth flaky,
R1-02,1. Login,sidebar muestra secciones,SI,N/A,SI,(sidebar visible),N/A,N/A,N/A,PASS,PASS,OK,
R1-03,2. Datos evento,"¿Cuantos invitados tengo confirmados en mi boda? Dame el numero exacto.",SI,SI (asumido),SI,(vacio — sin respuesta),empty,"tool_executed|data_response",0,FAIL,PASS (fake green),"IA no respondio nada. Posible: sesion expirada entre login y envio de mensaje, o chat no cargo correctamente",
R1-04,2. Datos evento,"Dame el total del presupuesto de mi boda: la suma de todas las partidas y el presupuesto total configurado.",SI,SI (asumido),SI,"Analizando tu solicitud... Consultando tus eventos... Formulando tu respuesta... Lo siento, no he podido obtener el total de tu presupuesto. Parece que hubo un error al intentar acceder a la informacion",data_response,"tool_executed|data_response",80,FAIL (requiresToolExecution),PASS (fake green),"La IA intento tools (fases streaming visibles) pero backend fallo. El viejo test pasaba porque reply.length > 30",
R1-05,2. Datos evento,"Lista todas las tareas pendientes de mi itinerario de boda. Necesito saber que me falta por hacer.",SI,SI (asumido),SI,"Analizando tu solicitud... Lo siento, pero no puedo acceder directamente a tus tareas pendientes o al itinerario de tu boda. Mi funcion principal es ayudarte a gestionar tus eventos, invitados y presu...",data_response,"tool_executed|data_response",80,FAIL (requiresToolExecution),PASS (fake green),"La IA no tiene tool de tareas o el tool fallo. Responde con texto generico. El viejo test pasaba con reply.length > 30",
R1-06,2. Datos evento,"Dame la lista de servicios o proveedores que tengo contratados para mi boda.",SKIP (no-jwt),N/A,NO,SKIP,N/A,N/A,N/A,SKIP,N/A,Login fallo en este intento,
R1-07,2. Datos evento,"Dame un resumen completo de mi boda: fecha, lugar, numero de invitados, presupuesto total y las 3 tareas mas urgentes.",SI,SI (asumido),SI,"Analizando tu solicitud... Consultando tus eventos... Formulando tu respuesta... Lo siento, parece que ha habido un error al intentar recuperar tus eventos. Por favor, intentalo de nuevo mas tarde.",data_response,"tool_executed|data_response",80,FAIL (requiresToolExecution),PASS (fake green),"Backend fallo al recuperar eventos. El viejo test pasaba porque reply.length > 80",
R1-08,2. Datos evento,"Busca en internet las tendencias de decoracion de bodas para 2025. Dame 3 ideas concretas con fuentes.",SI,SI (asumido),SI,"Analizando tu solicitud... Lo siento, no tengo la capacidad de buscar informacion en internet en tiempo real para darte las tendencias de decoracion de bodas para 2025 con fuentes especificas. Mi func...",data_response,"tool_executed|data_response",100,PASS,PASS,"Paso porque la categoria es data_response (respuesta larga con contenido). Pero la IA NO busco en internet — respondio con conocimiento general. Es un false positive leve.",
R1-09,3. CRUD,"Anade este invitado a mi boda: Nombre: Paco Garcia E2E...",SI,SI (asumido),SI,"Analizando tu solicitud... Consultando tus eventos... Formulando tu respuesta... Lo siento, parece que hubo un error al intentar obtener tus eventos. No puedo anadir el invitado sin poder acceder a tu...",data_response,"tool_executed|data_response",40,FAIL (keywords + tools),PASS (fake green),"Backend fallo. No menciona 'paco'. El viejo test pasaba con reply.length > 20",
R2-01,2. Datos evento,"¿Cuantos invitados tengo confirmados en mi boda? Dame el numero exacto.",SI,SI (asumido),SI,"I am your personal intelligent assistant Bodas de Hoy. How can I assist you today? If you need a more professional or customized assistant, you can click + to create a custom assistant.",greeting,"tool_executed|data_response|tool_failed",25,FAIL (greeting),PASS (fake green),"*** CASO CLAVE: La IA respondio con saludo generico en ingles en vez de ejecutar tools. Esto es EXACTAMENTE el fake green que queriamos detectar. El viejo test pasaba porque reply.length > 30 ***",
R2-02,2. Datos evento,"Dame el total del presupuesto...",SKIP (no-jwt),N/A,NO,SKIP,N/A,N/A,N/A,SKIP,N/A,Login fallo,
R2-03,2. Datos evento,"Lista todas las tareas pendientes...",SKIP (login OK pero test skipped),N/A,SI,SKIP,N/A,N/A,N/A,SKIP,N/A,Skipped por Playwright (test anterior fallo),
R2-04,2. Datos evento,"Dame la lista de servicios...",SI (intento),SI (asumido),SI,(timeout en page.goto login),N/A,N/A,N/A,FAIL (timeout),PASS,Login timeout — chat-ia local no respondio a tiempo,
R2-05,12. Contexto,"¿Cuantos invitados tengo?",NO (sin login),NO,NO,"Analizando tu solicitud... Consultando tus eventos... Formulando tu respuesta... Parece que hubo un problema al intentar acceder a tus eventos. No puedo obtener la informacion de tus invitados en este...",tool_failed,auth_required,40,FAIL,N/A (test nuevo),"La IA intento tools sin auth y fallo. Esperabamos que pidiera login, pero LobeChat permite guest mode y la IA no sabe que el usuario no esta logueado — intenta tools directamente",
R2-06,12. Contexto,"¿Cuantos invitados tengo?",SI,NO (sin evento seleccionado),SI,"Analizando tu solicitud... Consultando tus eventos... Formulando tu respuesta... Lo siento, no pude obtener la informacion de tus eventos en este momento. Por favor, intenta de nuevo mas tarde.",tool_failed,"needs_event|tool_executed",40,PASS (validCategories incluye tool_failed),N/A (test nuevo),"La IA intento listar eventos pero backend fallo. No distingue entre 'no hay evento seleccionado' y 'error de servidor'. El test paso porque tool_failed esta en las categorias validas.",
R2-07,12. Contexto,"¿Cuantos invitados tengo confirmados en mi boda? Dame el numero exacto.",SI,SI (asumido),SI,"Analizando tu solicitud... He procesado tu solicitud.",tool_executed,"tool_executed|data_response|tool_failed",60,FAIL (missing keyword 'invitado'),N/A (test nuevo),"La IA ejecuto tools pero solo respondio 'He procesado tu solicitud' sin dar datos. El tool se ejecuto pero la respuesta fue vacia/generica. Falta el keyword 'invitado'.",
